ity,Districts
Thanh pho Can Tho,"['Quan Ninh Kieu', 'Quan O Mon', 'Quan Binh Thuy', 'Quan Cai Rang', 'Quan Thot Not', 'Huyen Vinh Thanh', 'Huyen Co Do', 'Huyen Phong Dien', 'Huyen Thoi Lai']"
Thanh pho Ha Noi,"['Quan Ba Dinh', 'Quan Hoan Kiem', 'Quan Tay Ho', 'Quan Long Bien', 'Quan Cau Giay', 'Quan Dong Da', 'Quan Hai Ba Trung', 'Quan Hoang Mai', 'Quan Thanh Xuan', 'Huyen Soc Son', 'Huyen Dong Anh', 'Huyen Gia Lam', 'Quan Nam Tu Liem', 'Huyen Thanh Tri', 'Quan Bac Tu Liem', 'Huyen Me Linh', 'Quan Ha Dong', 'Thi xa Son Tay', 'Huyen Ba Vi', 'Huyen Phuc Tho', 'Huyen Dan Phuong', 'Huyen Hoai Duc', 'Huyen Quoc Oai', 'Huyen Thach That', 'Huyen Chuong My', 'Huyen Thanh Oai', 'Huyen Thuong Tin', 'Huyen Phu Xuyen', 'Huyen Ung Hoa', 'Huyen My Duc']"
Thanh pho Hai Phong,"['Quan Hong Bang', 'Quan Ngo Quyen', 'Quan Le Chan', 'Quan Hai An', 'Quan Kien An', 'Quan Do Son', 'Quan Duong Kinh', 'Huyen Thuy Nguyen', 'Huyen An Duong', 'Huyen An Lao', 'Huyen Kien Thuy', 'Huyen Tien Lang', 'Huyen Vinh Bao', 'Huyen Cat Hai', 'Huyen Bach Long Vi']"
Thanh pho Ho Chi Minh,"['Quan 1', 'Quan 12', 'Quan Go Vap', 'Quan Binh Thanh', 'Quan Tan Binh', 'Quan Tan Phu', 'Quan Phu Nhuan', 'Thanh pho Thu Duc', 'Quan 3', 'Quan 10', 'Quan 11', 'Quan 4', 'Quan 5', 'Quan 6', 'Quan 8', 'Quan Binh Tan', 'Quan 7', 'Huyen Cu Chi', 'Huyen Hoc Mon', 'Huyen Binh Chanh', 'Huyen Nha Be', 'Huyen Can Gio']"
Thanh pho Da Nang,"['Quan Lien Chieu', 'Quan Thanh Khe', 'Quan Hai Chau', 'Quan Son Tra', 'Quan Ngu Hanh Son', 'Quan Cam Le', 'Huyen Hoa Vang', 'Huyen Hoang Sa']"
Tinh An Giang,"['Thanh pho Long Xuyen', 'Thanh pho Chau Doc', 'Huyen An Phu', 'Thi xa Tan Chau', 'Huyen Phu Tan', 'Huyen Chau Phu', 'Thi xa Tinh Bien', 'Huyen Tri Ton', 'Huyen Chau Thanh', 'Huyen Cho Moi', 'Huyen Thoai Son']"
Tinh Ba Ria - Vung Tau,"['Thanh pho Vung Tau', 'Thanh pho Ba Ria', 'Huyen Chau Duc', 'Huyen Xuyen Moc', 'Huyen Long Dien', 'Huyen Dat Do', 'Thi xa Phu My', 'Huyen Con Dao']"
Tinh Binh Duong,"['Thanh pho Thu Dau Mot', 'Huyen Bau Bang', 'Huyen Dau Tieng', 'Thi xa Ben Cat', 'Huyen Phu Giao', 'Thanh pho Tan Uyen', 'Thanh pho Di An', 'Thanh pho Thuan An', 'Huyen Bac Tan Uyen']"
Tinh Binh Phuoc,"['Thi xa Phuoc Long', 'Thanh pho Dong Xoai', 'Thi xa Binh Long', 'Huyen Bu Gia Map', 'Huyen Loc Ninh', 'Huyen Bu Dop', 'Huyen Hon Quan', 'Huyen Dong Phu', 'Huyen Bu Dang', 'Thi xa Chon Thanh', 'Huyen Phu Rieng']"
Tinh Binh Thuan,"['Thanh pho Phan Thiet', 'Thi xa La Gi', 'Huyen Tuy Phong', 'Huyen Bac Binh', 'Huyen Ham Thuan Bac', 'Huyen Ham Thuan Nam', 'Huyen Tanh Linh', 'Huyen Duc Linh', 'Huyen Ham Tan', 'Huyen Phu Qui']"
